A,bpp,psnr,msssim,dbcnn,liqe_score,lpips_score
ms-q1,0.1540003232008137,26.496963500976562,0.9611646644771099,0.47162031568586826,3.6258246451616287,0.2494606263935566
ms-q2,0.19349420688482105,27.410988926887512,0.9685225076973438,0.4911324828863144,3.8480824530124664,0.21825401112437248
ms-q3,0.23461853583874046,28.062894582748413,0.9740015864372253,0.5042620822787285,4.004139676690102,0.19179013976827264
ms-q4,0.27083207770571244,28.50186336040497,0.9773856624960899,0.5075336694717407,4.065671145915985,0.1777964890934527
ms-q5,0.3677517250080848,29.52240490913391,0.9834729954600334,0.5191242769360542,4.170664504170418,0.14283064659684896
ms-q6,0.5230143622408259,31.267253756523132,0.989713829010725,0.5483930874615908,4.300302505493164,0.09854818740859628
ms-q7,0.6922704844071554,32.354122161865234,0.9925934299826622,0.5671666767448187,4.348091796040535,0.07128129061311483
ms-q8,0.9555665804359628,33.630234241485596,0.9947993643581867,0.5873049572110176,4.374095305800438,0.04807514033745974
q1,0.20837490435581682,29.741806507110596,0.9534804038703442,0.5610711835324764,4.053418353199959,0.22120066452771425
q2,0.25213550191671524,30.545559883117676,0.9606757089495659,0.575035260990262,4.1705188900232315,0.19754254957661033
q3,0.3055535632264659,31.385252952575684,0.9670660756528378,0.5867850352078676,4.248451888561249,0.1741174489725381
q4,0.3566260938912982,32.062068462371826,0.9716045446693897,0.5970587525516748,4.328662797808647,0.15637405635789037
q5,0.5027901627170637,33.63797605037689,0.9795031994581223,0.6179559491574764,4.480640187859535,0.11965943221002817
q6,0.7198910119820451,35.3931200504303,0.9854393973946571,0.6305158846080303,4.55205138027668,0.08360021736007184
q7,0.9960374193197387,37.16244029998779,0.9899888448417187,0.6407097950577736,4.52795022726059,0.05519467295380309
q8,1.347212975083868,38.8975555896759,0.9932597950100899,0.6464642770588398,4.497789368033409,0.032597264857031405
