A,bpp,psnr,msssim,dbcnn,liqe_score,lpips_score
ms-q1,0.1409853854203294,27.391063809394836,0.9635965600609779,0.48925165086984634,3.7661245614290237,0.2408908810466528
ms-q2,0.17806968709416776,28.099202394485474,0.9706745222210884,0.5057235956192017,3.9512804597616196,0.21195195149630308
ms-q3,0.21435998162182368,28.628467082977295,0.975407999008894,0.5132269244641066,4.09290337562561,0.190720000769943
ms-q4,0.24859744449766097,29.045687794685364,0.9787031449377537,0.5188883431255817,4.134811505675316,0.176070355810225
ms-q5,0.33602318406476006,29.849867343902588,0.9841590858995914,0.5341070964932442,4.277144446969032,0.1462488011457026
ms-q6,0.5034752864817358,31.36047875881195,0.989779245108366,0.55848547257483,4.365453705191612,0.09714099951088428
ms-q7,0.6658736039101902,32.44845736026764,0.9926286041736603,0.5739957168698311,4.374173134565353,0.07102118781767786
ms-q8,0.9243166990703069,33.706045150756836,0.9948567003011703,0.5876443535089493,4.380232945084572,0.04798416222911328
q1,0.18181721972683962,29.935830235481262,0.9524017199873924,0.5631498284637928,4.106121048331261,0.217988038668409
q2,0.22137051257604376,30.685069799423218,0.9598573297262192,0.5753299035131931,4.2038606107234955,0.19521612068638206
q3,0.27067121962999696,31.478321075439453,0.9664361253380775,0.5881393402814865,4.273860648274422,0.17238066997379065
q4,0.3170787741292094,32.12498199939728,0.9708930402994156,0.595437852665782,4.330352380871773,0.1563390081282705
q5,0.4495181017814698,33.60686218738556,0.9788761287927628,0.6169198751449585,4.481279596686363,0.11954261572100222
q6,0.6626475835904804,35.41423463821411,0.9849728159606457,0.6314528286457062,4.5704942643642426,0.08470351621508598
q7,0.9239268754999832,37.12266445159912,0.9896051846444607,0.6411728151142597,4.558613136410713,0.05603946512565017
q8,1.2552463124755897,38.75673770904541,0.9928844012320042,0.6461095102131367,4.504000574350357,0.033782023296225816
