A,bpp,psnr,msssim,dbcnn,liqe_score,lpips_score
ms-q1,0.1650420572073226,26.699368119239807,0.9614548198878765,0.4561484344303608,3.4834973514080048,0.255607049446553
ms-q2,0.2061483130486353,27.556085467338562,0.9689966812729836,0.47201046347618103,3.724696069955826,0.2242140844464302
ms-q3,0.2463737355437458,28.156412482261658,0.9740879461169243,0.48374032229185104,3.89937624335289,0.20128448866307735
ms-q4,0.28518342531547825,28.646949648857117,0.9777434542775154,0.49254597164690495,4.006700202822685,0.18362293019890785
ms-q5,0.3847469462707417,29.543902277946472,0.9837949611246586,0.5067968145012856,4.146854862570763,0.150673552416265
ms-q6,0.5409309203637263,31.13953733444214,0.989248413592577,0.5378309190273285,4.277592211961746,0.09880859102122486
ms-q7,0.7250721969222081,32.34409475326538,0.9924102835357189,0.5600847322493792,4.328048929572105,0.06869268463924527
ms-q8,1.0318468042002176,33.8890335559845,0.9949835315346718,0.5850067418068647,4.379213646054268,0.037835500901564956
q1,0.2196694847641547,29.70970642566681,0.9516972042620182,0.555355042219162,3.9098561257123947,0.2234911867417395
q2,0.2654420621305744,30.500746369361877,0.9592771790921688,0.5698033776134253,4.047961175441742,0.1994657339528203
q3,0.3203828394997402,31.311129927635193,0.9658197276294231,0.5837001465260983,4.181429669260979,0.17694895970635116
q4,0.37428578032213117,32.00179088115692,0.9705249294638634,0.5946447812020779,4.29643426835537,0.15869680372998118
q5,0.5256623225453907,33.58414959907532,0.9789035953581333,0.6178533807396889,4.452655419707298,0.12184668960981071
q6,0.7438105385025863,35.32097792625427,0.9850061051547527,0.6303138360381126,4.542923837900162,0.08607615518849343
q7,1.02904550991105,37.10437536239624,0.989820558577776,0.6412689089775085,4.556076616048813,0.05504296126309782
q8,1.3830435783176154,38.810195207595825,0.9930848814547062,0.6478125900030136,4.494921088218689,0.033823038975242525
