A,bpp,psnr,msssim,dbcnn,liqe_score,lpips_score
ms-q1,0.15424601236979166,25.90849820772807,0.9582176779707273,0.4743437021970749,3.3846651315689087,0.2809517861654361
ms-q2,0.1955803765190972,26.596912304560345,0.9667596146464348,0.5021438573797544,3.7756247222423553,0.24476832275589308
ms-q3,0.23787095811631945,27.113744258880615,0.9730288336674372,0.5222793035209179,4.091325094302495,0.21721781293551126
ms-q4,0.2737392849392361,27.551740328470867,0.9768424481153488,0.529399212449789,4.214031765858333,0.20017052752276263
ms-q5,0.3702867296006945,28.405908981959026,0.9834944754838943,0.5497439975539843,4.452408413092296,0.16458041624476513
ms-q6,0.5190599229600695,30.15961464246114,0.9895878111322721,0.591419018805027,4.68632631500562,0.11127551427731912
ms-q7,0.694210476345486,31.168850739796955,0.9927740717927614,0.614231010278066,4.738194902737935,0.07849585295965274
ms-q8,0.971676296657986,32.33915797869364,0.9952756216128668,0.6393489117423693,4.781868855158488,0.05165606876835227
q1,0.1923149956597222,29.79975501696269,0.944856603940328,0.5721526021758715,3.8734163641929626,0.25483590736985207
q2,0.23850165473090276,30.6189706325531,0.9545567209521929,0.5920898591478666,4.129032999277115,0.22267589314530292
q3,0.2954576280381944,31.49502468109131,0.962896446386973,0.6107787837584814,4.3205427924791975,0.18969531077891588
q4,0.35076226128472215,32.2380747795105,0.968869206806024,0.6252126172184944,4.464754740397136,0.16439913275341192
q5,0.5069512261284722,33.982056538263954,0.9791348949074745,0.6538311764597893,4.6800941328207655,0.11748334377383192
q6,0.720977783203125,35.82975689570109,0.985975461701552,0.6731660763422648,4.7926603356997175,0.0849425457417965
q7,0.9885016547309028,37.77074829737345,0.9907455494006475,0.6908332606156667,4.82484628756841,0.06086418808748325
q8,1.3185255262586806,39.67366981506348,0.9937701846162478,0.7042245417833328,4.85067758957545,0.043437531702996544
